Id;Nome;DataDeNascimento;Empresa;Departamento;Salario
593821;Christopher Fischer;26/03/1976;Gross-Bowers;Policy and Planning;13899.23
520144;Martin Berry;14/12/1917;Carney PLC;Engineering;44949.2
213547;Tyler Downs;15/09/1962;Roberts-Schneider;Internal Audit;76087.78
708637;Carrie Jackson;10/12/1954;Clark-Bates;Corporate Strategy;81075.52
614587;Lynn Byrd;20/09/1921;Howell, Chambers and Morgan;Software Development;35259.14
618224;Tamara Rojas;27/01/2017;Cox, Johnson and Gray;Marketing;88922.43
607981;Sheri Brown;19/02/2008;Brown Group;Hardware Development;55368.81
408867;Peggy Wood;25/02/1918;Frank-Lopez;Product Management;40380.54
238111;Nicolas Lindsey MD;29/12/2023;Washington, Hunt and Wade;Audit and Assurance;52686.84
327075;Ashley Franklin;20/02/2011;Barnett, Munoz and Mcclure;Advertising;63549.86
638394;Martha Flores;06/08/1943;Estrada-Harris;Distribution;32546.09
919386;Jessica Shannon;21/01/1918;Reilly, Gray and Joyce;Cybersecurity;50108.59
678766;Robert Castro;14/10/1952;Mcclain, Guzman and Boone;Advertising;75649.1
576147;Darren Jones;09/09/1909;Bolton Inc;Sales;64465.36
837943;Karina Johnson;18/07/1956;Davenport-Walsh;Logistics;52148.17
876909;Heather Fletcher;11/06/1936;Richards-Valdez;Strategic Planning;68930.66
61850;Dr. Erica Porter;24/03/1925;Taylor PLC;Facilities Maintenance;10386.64
305472;Adam Berg;19/02/2001;Wallace, Barnes and Robinson;Technical Support;70082.28
775462;Kristen Price;01/07/1930;Cooke and Sons;Research and Development;26011.24
578988;Andrew Perry;08/12/2014;Duran, Adams and Baxter;Corporate Affairs;47242.1
283232;Tracy Palmer DDS;17/05/1993;Yu-Hester;Training and Development;5034.12
146164;Robert Ayala;28/09/1941;David Ltd;Enterprise Architecture;15358.28
876921;Pamela Farley;25/07/2012;Martinez, Cruz and Kim;Corporate Communications;69558.61
918716;Willie Jones;16/12/1975;Butler-Morgan;Customer Success;73045.08
71407;Kevin Reed;28/02/2006;Green-Holmes;Facilities Management;15988.14
349714;Erica Freeman;23/07/1987;Johnson-Armstrong;Human Resources;62502.36
670139;Elaine Williams;06/02/1944;Chase, Rogers and Watson;Enterprise Architecture;18591.91
241698;Richard Reilly;17/09/1931;Simmons, Wallace and Bowman;Corporate Development;3682.45
330283;Melissa Adams;02/08/2019;Ortiz-Jones;Manufacturing;50191.1
115723;Lisa Gilbert;04/04/1994;Rios, Allen and West;Systems Engineering;57553.96
630416;Brandon Johnson;27/01/1919;Bailey-King;Corporate Communications;43179.02
217262;Curtis Rich;03/08/1917;Harris, Edwards and Garcia;Employee Relations;78635.18
20708;Samantha Frey;04/04/1914;Gordon, Levy and Navarro;Policy and Planning;39736.63
293358;Michael Johnson;05/01/1990;Wells-Khan;Risk Management;78211.31
385872;Justin Tran;20/04/1935;Lopez Inc;Business Continuity;9640.33
80175;Angela Short;14/07/1912;Stout Group;Market Research;64534.05
249440;Mathew Williams;30/05/1914;Allen-Cisneros;Risk Management;79632.67
946722;Adam Adams;10/01/1964;Conway and Sons;Data Management;37228.8
763926;George Graves;31/07/1965;Jones and Sons;Research and Innovation;60581.17
