Id;Nome;DataDeNascimento;Empresa;Departamento;Salario
642470;Maurice Hernandez;05/02/1989;Cooper-Burke;Procurement;50192.5
874536;James Guerra;06/03/1987;Campbell, Ramos and Nelson;Distribution;24505.5
185472;Bryan Jones PhD;27/02/2016;Johnson Group;Corporate Governance;74694.66
41070;Barbara Cardenas;07/08/2015;Edwards LLC;Research and Development;18345.78
484253;Thomas Fitzpatrick;19/01/1950;Gill PLC;Information Services;48631.4
803284;Anthony Stone;11/08/1932;Keith, Morales and Dixon;Research and Development;54132.75
302034;Michael Forbes;07/11/2015;Jones-Parrish;Facilities Management;31595.13
390163;Jacob Oconnor;25/11/1943;Hernandez, Morris and Lloyd;Public Relations;75392.51
260595;John Coffey;01/07/1983;Schroeder-Schultz;Infrastructure Management;21279.96
702356;Deborah Johnson;13/10/1942;Jones, Mcguire and Garza;Employee Wellness;19992.09
391609;Laura Ramirez;17/06/1934;Rodgers, Miller and Johnson;Engineering;53943.46
438902;Lisa Golden;26/07/1940;Kelly, Norton and Cummings;Marketing;85523.4
514935;Angela Todd;24/03/2008;Davis, Douglas and Hutchinson;Innovation;64988.68
332608;Phillip Palmer;16/07/1942;Davis LLC;Administration;43996.05
253646;Cody Proctor;02/01/2000;Hicks Group;Customer Success;19712.28
397898;Jennifer Wells;13/12/1982;Harris, Davis and Lopez;Manufacturing;84890.25
616540;Dustin Smith;19/03/1914;Christian, Owens and Hahn;Audit and Assurance;9024.72
670892;Jennifer Tucker;13/05/1942;Perez LLC;Operations;46389.67
471655;James Anderson;28/05/1982;Cantrell, Estrada and Zimmerman;Community Relations;81551.4
985952;Sarah Figueroa;18/07/1926;Sampson, Jackson and Manning;Corporate Communications;37943.03
713589;Bernard Lee;10/04/2004;Barajas-Harris;Manufacturing;66334.07
403552;Christopher Wilson;26/07/1999;Daniels, Costa and West;Taxation;24504.18
314604;Debra Hudson;09/01/1967;Park, Lynch and Duarte;Customer Success;52582.43
404355;Travis Lang;11/08/1964;Steele Ltd;Marketing;82307.31
991493;Annette Miller;08/10/2002;Pierce PLC;Facilities Maintenance;41441.38
587282;Stacey Burns;31/05/1931;Vaughan-Brown;Training and Education;21074.78
391461;Charles Fuller;19/07/1950;Klein Ltd;Customer Success;41504.65
728355;Kelly Brown;01/05/1935;Lopez PLC;Internal Audit;41008.74
329089;Nicole Alexander;20/08/1963;Goodman-Williams;Event Management;56153.32
934663;Jennifer Barrett;14/09/2020;Thornton, Hardin and Rich;Health and Safety;20749.6
654186;Melissa Woodward;15/04/1942;Miller-Bell;Brand Development;39463.93
254473;Mr. Seth Beck PhD;16/03/1908;Lowe Ltd;Sales;15815.45
483936;Dennis Martinez;19/03/1941;Rodriguez and Sons;Procurement;35340.7
261735;Scott Moore;08/01/1991;Pittman and Sons;Innovation;51426.15
310573;Sharon Roman;07/06/2019;Torres, Harris and Bell;Legal Affairs;39381.98
316387;Mr. Brian Green DDS;23/03/1959;Johnson-Conner;Corporate Governance;80919.3
218554;Seth Harris;12/07/1946;Jackson-Eaton;Treasury;4434.68
543966;Stephanie Collins;04/07/1923;Peterson Ltd;Product Launch;72343.93
497176;Jacob Gordon;24/10/1977;Byrd Group;Business Process Improvement;27495.21
720518;Samuel Wilson;19/03/2020;Hardy LLC;Business Intelligence;43895.74
489810;Amy Gill;30/06/2004;Stevenson, Brooks and Lewis;Corporate Communications;13326.99
409543;Daniel Greer;04/12/2022;Richards-Dudley;Logistics;6438.37
562209;Clifford Wagner;13/06/1941;Holloway-Alvarado;Advertising;54456.7
800869;Barry Conway;01/06/1944;Wyatt, Thomas and Smith;Corporate Training;64391.87
209347;John Ali;03/01/2023;Rodriguez, Taylor and Villegas;Technical Support;47442.59
111697;Ethan Cruz;08/11/2014;Welch Group;Corporate Communications;11785.66
555093;Stacie Marsh;12/08/1953;Alvarez PLC;Hardware Development;12638.1
741902;Tom Petty;21/12/1970;Acosta LLC;Information Services;31972.74
885352;Linda Anderson;21/03/2013;Hill-Suarez;Strategic Planning;23259.99
795148;Aaron Carey;19/02/2000;Glenn, Harrington and Young;Customer Experience;36201.77
239035;Kristine Vaughn;14/04/1921;Duncan and Sons;Project Management;10564.93
990001;Cindy Allen;16/04/1936;Morris Group;Corporate Events;87018.56
746377;Dustin Dawson;09/08/1999;Knight, Doyle and Williams;Innovation;79788.29
376210;Thomas Bryan;14/03/1987;Foster, Lee and Cooley;Legal;61487.91
432411;William Villarreal;27/02/2014;Alexander and Sons;International Operations;84976.02
147791;Brandon Gordon;12/02/1999;Holland Group;Contracts Management;21337.56
173411;Ronald Burton;11/08/1977;Wheeler, Day and Dominguez;Supply Chain;7643.86
885898;Brenda Hall;29/01/1955;Ford and Sons;Public Relations;63552.9
376164;Marc Duncan;12/04/1939;Colon, Lopez and Evans;Corporate Social Responsibility;80376.4
486500;Trevor Garcia;26/08/1987;Lyons PLC;Hardware Development;20877.25
275520;Cheryl Young;24/11/1980;Dixon-Lane;Warehouse Management;53132.96
462936;Brett Miller;06/06/1915;Martinez Group;Network Administration;38685.71
857161;Gary Hall;15/12/1922;Todd Ltd;Network Administration;65444.21
456663;Ann Butler;04/12/1943;Lee, Cruz and Lawson;Executive Office;3051.12
614876;Miguel Johnson;05/02/2002;Bryan and Sons;Investor Relations;50967.76
271902;Elizabeth Hensley;20/12/1959;Fritz LLC;Enterprise Architecture;44911.53
663176;John Rogers;24/09/1908;Banks Inc;Business Continuity;18871.75
18503;Amanda Farrell;25/12/1985;Barnett-Mitchell;Corporate Governance;65809.42
918988;Joseph Griffith;03/05/1984;Love-Ruiz;Office Management;46166.75
367329;Heidi Potter;03/06/1927;Hunt, Walker and Rose;Cybersecurity;38932.56
548113;Caitlin Moreno;27/10/1929;Cole, Lewis and Curtis;Business Continuity;79429.64
264232;Matthew Johnson;10/02/1943;Chapman Group;Data Management;10902.03
743925;John Campos;10/07/1912;Chang, Rivas and Berg;Administration;76287.98
917182;Alyssa Norton;09/10/2015;Arroyo, Hoffman and Davis;Distribution;26201.17
617564;Melissa Russell;14/02/1952;Gomez, Stewart and Martin;Financial Planning;85810.71
532676;Kathryn Warren;08/02/1986;Frazier-Clark;Public Affairs;29525.62
882850;Cynthia Arellano;06/06/1932;Mooney, Martin and Smith;Corporate Governance;45902.42
798887;Joseph Sutton;17/12/1995;Bolton-Love;Data Management;58508.55
276364;Donna Santos;05/11/1967;Williams, Kelley and Reynolds;Sales Operations;31636.22
788506;Stephanie Brown;19/08/2008;Gonzalez-Ingram;Contracts Management;63850.47
288536;Brenda Jones;28/11/2020;Sampson-Hartman;Facilities Maintenance;68180.88
266227;Travis Wise;08/09/2008;Fuller, Lynn and Gomez;Customer Support;36728.0
654667;Christopher Sullivan;13/12/1947;Norris Ltd;Facilities Maintenance;42699.34
102068;Cynthia Rivera;17/11/1987;Fry, Bowman and Novak;Regulatory Affairs;28373.36
269675;Michele Garcia MD;18/06/1941;Mathis, Jackson and Nelson;Corporate Strategy;57313.79
217155;Justin Lee;08/01/1997;Smith and Sons;Data Analytics;3418.12
452270;Gina Hernandez;16/11/1979;Brown-Romero;Information Technology;10484.87
214731;Henry Smith;20/02/1928;Johnson Inc;Brand Development;37981.91
795192;Shannon Flores;06/04/1996;Blake-Houston;Office Management;11671.8
612461;Michelle Lindsey;05/05/2013;Phillips PLC;Corporate Events;45392.16
515458;Jennifer Hubbard;10/11/1923;Adams, Lowe and Holden;Credit and Collections;67860.82
336587;Leslie Simmons;05/06/1965;Carrillo, Mckee and Patterson;Health and Safety;54683.64
732235;Charles Ramos;15/09/1953;Orozco-Mendez;Purchasing;20694.28
54419;Donna Hunt;23/11/1994;Malone, Murphy and Williams;Information Security;70827.51
777449;Joseph Jones;15/03/2017;Adams, Reynolds and Becker;Office Management;69398.33
17437;Philip Barajas;05/09/2018;Russell-Cummings;Accounting;4114.8
